ID,DATASET,curated_smiles,component1,component2
UNPD_subset_A_9772,UNPD-A,Oc1ccc([C@@H]2c3c(O)cc(O)cc3[C@@H]([C@@H](O)c3ccc(O)cc3)[C@H]2c2cc(O)cc(O)c2)cc1,10.691731452941895,-53.51468276977539
UNPD_subset_A_9816,UNPD-A,C[C@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,-36.46887969970703,17.27516746520996
UNPD_subset_A_9817,UNPD-A,CO[C@]1(C)CC[C@@H]2[C@@H](C2(C)C)[C@@]2(C)[C@H]1CCC2(C)C,-12.743982315063477,-0.8446791172027588
UNPD_subset_A_9818,UNPD-A,CC1(C)CC[C@]2(C)CC[C@]3(C)[C@H]4CC[C@@]5(C)[C@@H](CC[C@H]6O[C@]65C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,-58.00117492675781,36.660247802734375
UNPD_subset_A_9850,UNPD-A,Cn1c2c3ccccc3nc-2c(-n2c3ccccc3c3ccncc32)c2ccccc21,-21.292438507080078,-51.72029495239258
UNPD_subset_A_9851,UNPD-A,C[C@H](N)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C)CC[C@]4(C)[C@@H]3CC[C@]12C,-36.414913177490234,17.240875244140625
UNPD_subset_A_9852,UNPD-A,C(=NC(N=Cc1ccco1)c1ccco1)c1ccco1,10.196247100830078,-2.698986530303955
UNPD_subset_A_9853,UNPD-A,C=Cc1ccc2c(c1)C(OC)=CC(C)(C)O2,46.25654602050781,5.558454513549805
UNPD_subset_A_9854,UNPD-A,C=C1C=C[C@H](C(C)C)CC1,3.2581074237823486,3.6284244060516357
UNPD_subset_A_9855,UNPD-A,C/C=C1/CN2CCc3c([nH]c4ccccc34)C[C@@H]1CC2,-28.673236846923828,-45.67409896850586
UNPD_subset_A_9856,UNPD-A,CO[C@@H]1OC=C(C)[C@H]2CC[C@@H](C)[C@@H]12,-2.898310422897339,-17.930404663085938
UNPD_subset_A_9857,UNPD-A,CC1=C[C@H]2C(C(C)C)=CC[C@H](C)[C@H]2CC1,-24.583789825439453,2.2753396034240723
UNPD_subset_A_9858,UNPD-A,COc1c2c(cc3c1OC(C)(C)C=C3)OC(C)(C)CC2,29.37008285522461,-46.70921325683594
UNPD_subset_A_9859,UNPD-A,O=C1CC(=O)c2ccccc2C1=O,-3.1022496223449707,-40.695438385009766
UNPD_subset_A_9860,UNPD-A,O=C1c2ccccc2C(=C2c3ccccc3C(=O)c3ccccc32)c2ccccc21,-1.7789310216903687,-42.80350875854492
UNPD_subset_A_9861,UNPD-A,Cc1cccc2c3c(ccc12)[C@]1(C)CC[C@@]2(C)[C@H](C(C)C)CC[C@@H]2[C@@]1(C)CC3,-13.989459991455078,-30.956714630126953
UNPD_subset_A_9849,UNPD-A,CO[C@@H]1CC=C2CCN3CCCc4cc5c(cc4[C@]23C1)OCO5,-44.7716178894043,-46.54906463623047
UNPD_subset_A_9862,UNPD-A,C=Cc1c(OC)cc(OC)cc1OC,18.066978454589844,-35.13970184326172
UNPD_subset_A_9864,UNPD-A,COc1cc([C@H]2OC(c3cc(OC)c4c(c3)OCO4)=C(C)[C@@H]2C)cc(OC)c1OC,36.8736686706543,-7.892412185668945
